Item,Qty,Reference(s),Value,Mouser
1,15,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C14, C15, C24, C28, C29, C30",0.1uF,581-AR215C104K4R
2,6,"C10, C11, C12, C13, C22, C25",10uF,581-TAP106M025CRW
3,4,"C16, C17, C18, C19",4700pF,581-AR211C472K4R
4,1,C20,4.7uF,581-TAP475K016SCS
5,1,C21,1000pF,581-AR211C102K4R
6,1,C23,270pF,594-S271K43SL0N6TK5R
7,1,C26,220uF 16V,647-TVX1C221MAD
8,1,C27,0.047uF,581-AR215C473K4R
9,1,CR1,1N914,512-1N914
10,1,J1,Conn_01x03,490-SJ1-3553NG
11,1,Q1,2N3904,512-2N3904BU
12,2,"R1, R20",1K,291-1K-RC
13,6,"R3, R4, R7, R8, R12, R13",2.2K,291-2.2K-RC
14,1,R5,12K,291-12K-RC
15,4,"R6, R10, R11, R19",10K,291-10K-RC
16,1,R9,1.5K,291-1.5K-RC
17,1,R14,8.2K,291-8.2K-RC
18,1,R15,10K,688-RK14J11A000G
19,3,"R16, R17, R18",10,291-10-RC
20,1,RN1,10K,652-4606X-1LF-10K
21,1,U1,74LS245,595-SN74LS245N
22,1,U2,74LS244,595-SN74LS244N 
23,1,U3,74LS27,595-SN74LS27N
24,1,U4,PAL16L8,556-AF16V8B15PU
25,1,U5,P82C611,
26,1,U6,74LS109,595-SN74LS109AN
27,1,U7,YM3812,
28,1,U8,YM3014B,
29,1,U9,RC4136,595-RC4136N
30,1,U10,LM386N,926-LM386N-4/NOPB
31,1,U11,L78L05_TO92,511-L78L05ACZ
